text,label
अमेरिकामा कोभिड बाट एकै दिन चार हजारभन्दा बढीको मृत्यु,-1
कोभिड का कारण विदेशमा रहेका नेपालीहरुमा मानसिक स्वास्थ्य सम्बन्धि समस्या देखिएको र आत्महत्याका घटनाहरु बढेको डा सापकोटाले बताए,-1
नेपालमा क्लोभर बायोफार्मास्युटिकल्स अस्ट्रेलिया तथा भ्याक्जाइन पीटीवाई लिमिटेड अस्ट्रेलियाले उत्पादन गरेका कोभिड खोपको तेस्रो चरणका ट्रायल गर्न तयारी भइरहेको छ,1
कोभिड को खोप पनि लगाइयो,0
अमेरिकामा कोभिड को नयाँ रेकर्ड एकै दिन हजारभन्दा बढीको मृत्यु विश्व समाचार,-1
गण्डकी प्रदेश सरकारले कोभिड बाट प्रभावीतहरुको लागि भनेर स्थापित व्यवसाय जीवन रक्षा कोषमा अर्ब छुट्याइएकोमा महिना लागि सक्दा पनि कार्यविधि समेत बनेको छैन यसबाट बजेट कार्यन्वयनको पक्ष कस्तो छ अनुमान लगाउन सकिन्छ,-1
नेपालको संचार अमेरिकामा कोभिड को नयाँ रेकर्ड एकै दिन हजारभन्दा बढीको मृत्यु,-1
रामेछापमा कोभिड सङ्क्रमितको संख्या पुग्यो,0
कोरोना भाइरस भारत माघ गतेदेखि कोभिड विरुद्ध राष्ट्रव्यापी खोप अभियान,1
स्वास्थ्य मन्त्रालयले माग्यो कोभिड को रोकथामका लागि खटिएका स्वास्थ्यकर्मी तथा कर्मचारीको विवरण,0
अमेरिकामा कोभिड को नयाँ रेकर्ड एकै दिन हजार भन्दा बढीको ज्यान गयो,-1
भारतमा जनवरी देखि कोभिड विरुद्ध खोप अभियान,1
संयुक्त राज्य अमेरिकामा कोभिड को कारण मानिसको मृत्युमा नयाँ रेकर्ड देखिएको छ,-1
कोभिड अहिले पनि छ हामीले अहिले पनि सामाजिक दुरी कायम गरेका छौँ धनगढीमा आमसभा गरेको घण्टा पनि नबित्दै राष्ट्रिय सभामा प्रधानमन्त्री,0
कोभिड को भ्याक्सिन छिटै ल्याउने प्रधानमन्त्रीको भनाई,1
संयुक्त राज्य अमेरिकामा कोभिड को मृत्युमा नयाँ रेकर्ड देखिएको छ,0
कोभिड को अनुसन्धान गर्न विश्व स्वास्थ्य संगठनलाई चीनले सघाउने,1
प्रधानमन्त्री केपी शर्मा ओलीले कोभिड को भ्याक्सिन सरकारले छिटै ल्याउने बताएका छन् राष्ट्रियसभा बैठक,1
कोभिड अहिले पनि छ हामीले अहिले पनि सामाजिक दुरी कायम गरेका छौँ धनगढीमा आमसभा गरेको घण्टा पनि नबित्दै राष्ट्रिय सभामा प्रधानमन्त्री ओली,0
अमेरिकामा कोभिड को नयाँ रेकर्ड एकै दिनमा चार हजारभन्दा बढीको मृत्यु,-1
अमेरिकामा कोभिड को नयाँ रेकर्ड एकै दिन हजार बढीको मृत्यु,-1
कोभिड सङ्क्रमणबाट विदेशमा थप तीन जना नेपालीको निधन,-1
संयुक्त राज्य अमेरिकामा कोभिड को मृत्युमा नयाँ रेकर्ड देखिएको छ यहाँ एकै दिन यो सङ्क्रमणबाट चार हजार जनाभन्दा बढीको ज्यान गएको बताइएको छ,-1
भारतमा जनवरीदेखि कोरोना भाइरस कोभिड विरुद्ध खोप लगाउन सुरु गरिने भएको छ स्वास्थ्य तथा जनसंख्या मन्त्रालयका अनुसार पहिलो चरणमा तीन करोड स्वास्थ्यकर्मी र फ्रन्टलाइनमा काम गर्नेहरुलाई प्राथमिकता दिइनेछ,1
मुलुक कोभिड को महामारीबाट आक्रान्त संकट भइरहेको बेला राज्य सबै नागरिकको अभिभावकका रुपमा साथमा रहनुपर्ने बेलामा भएको यस्तो निर्णय विल्कुल गलत छ संक्रामकको बेला नागरिकमा थप आतंक सिर्जना हुने गरी गरिएको उक्त विभेदकारी गैरजिम्मेवार र जनताप्रति अनुत्तरदायी निर्णय हो,-1
अमेरिकामा कोभिड को नयाँ रेकर्ड,0
अमेरिकामा कोभिड को नयाँ रेकर्ड एकै दिन हजारभन्दा बढीको मृत्यु,-1
